"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2018-05-08T23:59:40.37+03:00[Europe/Athens]","0.0","7.1"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2018-05-08T23:59:47.746+03:00[Europe/Athens]","0.0","0.13"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2018-05-08T23:59:47.892+03:00[Europe/Athens]","0.0","3.0"
