"Story","Title","Result","Date","Stability","Duration (s)"
"Search story","Searching by keyword apple should display the corresponding article","SUCCESS","2018-05-16T13:19:05.807+03:00[Europe/Athens]","0.0","11.82"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2018-05-16T13:52:30.316+03:00[Europe/Athens]","0.0","7.53"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2018-05-16T13:52:38.233+03:00[Europe/Athens]","0.0","5.54"
"Search story","Searching by keyword examen should display the corresponding article","SUCCESS","2018-05-16T13:52:45.923+03:00[Europe/Athens]","0.0","10.32"
"Search story","Logo click goes to homepage","SUCCESS","2018-05-16T13:52:56.254+03:00[Europe/Athens]","0.0","2.36"
"Search story","After search not on homepage","SUCCESS","2018-05-16T13:52:58.622+03:00[Europe/Athens]","0.0","2.35"
"Search story","Searching by keyword sesiune should not display exam article","SUCCESS","2018-05-16T13:53:00.986+03:00[Europe/Athens]","0.0","3.61"
